Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
6,959;315,18;0;0;0;0;0;0;276,37;0;0;0;273,64;0,6;0;0;270,99;0,1;0;0;270,12;3,8;127;3,8;0;0;50;3,314;31,75;0,01;32,53;0,474544128;1032,83;18071445,26
6,606;315,18;0;0;0;0;0;0;276,37;0;0;0;273,64;0,6;0;0;270,99;0;0;0;270,1;3,9;134;3,9;0;0;50;3,314;33,5;0,01;32,53;0,474544128;1089,76;
6,436;315,18;0;0;0;0;0;0;276,37;0;0;0;273,64;0,6;0;0;270,98;0;0;0;270,06;3,9;132;3,9;0;0;50;3,314;33;0,01;32,53;0,474544128;1073,49;
6,31;315,18;0;0;0;0;0;0;276,37;0;0;0;273,64;0,6;0;0;270,98;0;0;0;270,04;3,9;130;3,9;0;0;50;3,314;32,5;0,01;32,53;0,474544128;1057,23;
6,117;315,19;0;0;0;0;0;0;276,36;0;0;0;273,64;0,6;0;0;270,98;0;0;0;270,01;3,9;132;3,9;0;0;50;3,314;33;0,01;20,54;0,299635303;677,82;
6,119;315,18;0;0;0;0;0;0;276,35;0;0;0;273,64;0,6;0;0;270,98;0;0;0;269,98;3,9;128;3,9;0;0;50;3,314;32;0,01;20,54;0,299635303;657,28;
6,001;315,19;0;0;0;0;0;0;276,35;0;0;0;273,64;0,6;0;0;270,98;0;0;0;269,95;3,9;128;3,9;0;0;50;3,314;32;0,01;20,54;0,299635303;657,28;
5,883;315,19;0;0;0;0;0;0;276,35;0;0;0;273,64;0,6;0;0;270,98;0;0;0;269,92;3,9;127;3,9;0;0;50;3,314;31,75;0,01;20,54;0,299635303;652,15;
5,765;315,19;0;0;0;0;0;0;276,34;0;0;0;273,64;0,6;0;0;270,98;0;0;0;269,89;3,9;125;3,9;0;0;50;3,314;31,25;0,01;20,54;0,299635303;641,88;
5,647;315,19;0;0;0;0;0;0;276,34;0;0;0;273,64;0,6;0;0;270,98;0;0;0;269,86;3,9;124;3,9;0;0;50;3,314;31;0,01;20,54;0,299635303;636,74;
