Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
314,84;0;0;0;0;0;0;276,23;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,35;1,1;0;0;1,1;0;28;0,619;0;0;48,02;0,638224349;0;;
314,85;0;0;0;0;0;0;276,22;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,34;1,1;0;0;1,1;0;28;0,619;0;0;48,02;0,638224349;0;;
314,84;0;0;0;0;0;0;276,22;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,33;1,1;0;0;1,1;0;28;0,619;0;0;48,02;0,638224349;0;;
314,84;0;0;0;0;0;0;276,22;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,32;1,1;0;0;1,1;0;28;0,619;0;0;52,08;0,692185008;0;;
314,84;0;0;0;0;0;0;276,22;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,32;1,1;0;0;1,1;0;28;0,619;0;0;52,08;0,692185008;0;;
314,84;0;0;0;0;0;0;276,21;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,31;1,1;0;0;1,1;0;28;0,619;0;0;52,08;0,692185008;0;;
314,84;0;0;0;0;0;0;276,21;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,3;1,1;0;0;1,1;0;28;0,619;0;0;52,08;0,692185008;0;;
314,84;0;0;0;0;0;0;276,21;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,3;1,1;0;0;1,1;0;28;0,619;0;0;53,42;0,709994684;0;;
314,84;0;0;0;0;0;0;276,2;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,29;1,1;0;0;1,1;0;28;0,619;0;0;53,42;0,709994684;0;;
314,84;0;0;0;0;0;0;276,2;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,29;1,1;0;0;1,1;0;28;0,619;0;0;53,42;0,709994684;0;;
314,84;0;0;0;0;0;0;276,2;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,28;1,1;0;0;1,1;0;28;0,619;0;0;53,42;0,709994684;0;;
314,84;0;0;0;0;0;0;276,2;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,27;1,1;0;0;1,1;0;28;0,619;0;0;53,19;0,706937799;0;;
314,84;0;0;0;0;0;0;276,2;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,26;1,1;0;0;1,1;0;28;0,619;0;0;53,19;0,706937799;0;;
314,84;0;0;0;0;0;0;276,19;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,25;1,1;0;0;1,1;0;29;0,641;0;0;53,19;0,706937799;0;;
314,85;0;0;0;0;0;0;276,19;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,25;1,1;0;0;1,1;0;29;0,641;0;0;53,19;0,706937799;0;;
314,85;0;0;0;0;0;0;276,19;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,24;1,1;0;0;1,1;0;29;0,641;0;0;54,59;0,725544923;0;;
314,84;0;0;0;0;0;0;276,18;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,23;1,1;0;0;1,1;0;29;0,641;0;0;54,59;0,725544923;0;;
314,84;0;0;0;0;0;0;276,18;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,22;1,1;0;0;1,1;0;29;0,641;0;0;54,59;0,725544923;0;;
314,84;0;0;0;0;0;0;276,18;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,21;1,1;0;0;1,1;0;29;0,641;0;0;54,59;0,725544923;0;;
314,84;0;0;0;0;0;0;276,18;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,21;1,1;0;0;1,1;0;29;0,641;0;0;55,37;0,735911749;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,2;1,1;0;0;1,1;0;29;0,641;0;0;55,37;0,735911749;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,19;1,1;0;0;1,1;0;29;0,641;0;0;55,37;0,735911749;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,18;1,1;0;0;1,1;0;29;0,641;0;0;55,37;0,735911749;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,17;1,1;0;0;1,1;0;29;0,641;0;0;52,46;0,697235513;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,4;0;0;271,07;0;0;0;270,16;1,1;0;0;1,1;0;29;0,641;0;0;52,46;0,697235513;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,15;1,1;0;0;1,1;0;29;0,641;0;0;52,46;0,697235513;0;;
314,84;0;0;0;0;0;0;276,17;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,15;1,1;0;0;1,1;0;29;0,641;0;0;52,46;0,697235513;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,13;1,1;0;0;1,1;0;29;0,641;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,13;1,1;0;0;1,1;0;29;0,641;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,12;1,1;0;0;1,1;0;28;0,619;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,12;1,1;0;0;1,1;0;28;0,619;0;0;50,35;0,669191919;0;;
314,85;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,11;1,1;0;0;1,1;0;28;0,619;0;0;48,48;0,644338118;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,11;1,1;0;0;1,1;0;28;0,619;0;0;48,48;0,644338118;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,1;1,1;0;0;1,1;0;28;0,619;0;0;48,48;0,644338118;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,09;1,1;0;0;1,1;0;28;0,619;0;0;48,48;0,644338118;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,08;1,1;0;0;1,1;0;28;0,619;0;0;49,98;0,664274322;0;;
314,84;0;0;0;0;0;0;276,16;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,07;1,1;0;0;1,1;0;28;0,619;0;0;49,98;0,664274322;0;;
314,84;0;0;0;0;0;0;276,15;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,07;1,1;0;0;1,1;0;28;0,619;0;0;49,98;0,664274322;0;;
314,84;0;0;0;0;0;0;276,15;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,06;1,1;0;0;1,1;0;28;0,619;0;0;49,98;0,664274322;0;;
314,84;0;0;0;0;0;0;276,15;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,06;1,1;0;0;1,1;0;28;0,619;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,14;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,05;1,1;0;0;1,1;0;28;0,619;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,14;0;0;0;273,66;0,5;0;0;271,07;0;0;0;270,05;1,1;0;0;1,1;0;28;0,619;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,14;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270,04;1,1;0;0;1,1;0;28;0,619;0;0;50,35;0,669191919;0;;
314,84;0;0;0;0;0;0;276,13;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270,03;1,1;0;0;1,1;0;28;0,619;0;0;53,03;0,704811271;0;;
314,84;0;0;0;0;0;0;276,13;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270,03;1,1;0;0;1,1;0;28;0,619;0;0;53,03;0,704811271;0;;
314,84;0;0;0;0;0;0;276,13;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270,02;1,1;0;0;1,1;0;28;0,619;0;0;53,03;0,704811271;0;;
314,84;0;0;0;0;0;0;276,13;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270,01;1,1;0;0;1,1;0;27;0,597;0;0;53,03;0,704811271;0;;
314,84;0;0;0;0;0;0;276,13;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270,01;1,1;0;0;1,1;0;28;0,619;0;0;55,17;0,733253589;0;;
314,83;0;0;0;0;0;0;276,13;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270;1,1;0;0;1,1;0;27;0,597;0;0;55,17;0,733253589;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;270;1,1;0;0;1,1;0;27;0,597;0;0;55,17;0,733253589;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,99;1,1;0;0;1,1;0;27;0,597;0;0;55,17;0,733253589;0;;
314,84;0;0;0;0;0;0;276,12;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,98;1,1;0;0;1,1;0;27;0,597;0;0;54,81;0,7284689;0;;
