Time;Inflow 1;Level 1;Outflow 1;Inflow 2;Level 2;Outflow 2;Inflow 3;Level 3;Outflow 3;Inflow 4;Level 4;Outflow 4;Inflow 5;Level 5;Outflow 5
01.01.2012 00:00;11,218;316,59;0;0;276,35;0;0;273,6;0;0;270,99;0;0;270,46;9,60
01.01.2012 00:15;11,218;316,58;0;0;276,33;0;0;273,6;0;0;270,98;0;0;270,41;9,60
01.01.2012 00:30;11,218;316,59;0;0;276,35;0;0;273,61;0;0;270,97;0;0;270,31;9,60
01.01.2012 00:45;11,218;316,59;0;0;276,34;0;0;273,62;0;0;270,98;0;0;270,23;9,50
01.01.2012 01:00;11,218;316,59;0;0;276,34;0;0;273,62;0;0;271;0;0;270,15;9,50
01.01.2012 01:15;11,218;316,59;0;0;276,34;0;0;273,62;0;0;270,99;0;0;270,06;9,50
01.01.2012 01:30;11,218;316,6;0;0;276,34;0;0;273,63;0;0;270,99;0;0;269,99;9,40
01.01.2012 01:45;11,218;316,6;0;0;276,33;0;0;273,63;0,1;0,1;271;0;0;269,89;9,40
01.01.2012 02:00;11,218;316,6;0;0;276,33;0;0;273,63;0,1;0,1;271;0;0;269,81;9,40
01.01.2012 02:15;11,218;316,6;0;0;276,33;0;0;273,63;0,1;0,1;271,01;0;0;269,71;9,30
01.01.2012 02:30;11,218;316,63;0;0;276,32;0;0;273,64;0,1;0,1;271,01;0;0;269,63;9,30
01.01.2012 02:45;11,218;316,63;0;0;276,32;0;0;273,64;0,1;0,1;271,01;0;0;269,54;9,30
01.01.2012 03:00;11,218;316,63;0;0;276,31;0;0;273,64;0,2;0,2;271,02;0;0;269,46;9,20
01.01.2012 03:15;11,218;316,63;0;0;276,31;0;0;273,64;0,2;0,2;271,03;0;0;269,38;9,20
01.01.2012 03:30;11,218;316,63;0;0;276,31;0;0;273,65;0,2;0,2;271,03;0;0;269,28;8,50
01.01.2012 03:45;11,218;316,63;0;0;276,3;0;0;273,65;0,2;0,2;271,03;0;0;269,21;8,50
01.01.2012 04:00;11,218;316,63;0;0;276,3;0;0;273,65;0,2;0,2;271,04;0;0;269,11;8,50
01.01.2012 04:15;11,218;316,63;0;0;276,3;0;0;273,65;0,2;0,2;271,05;0;0;269,04;8,40
01.01.2012 04:30;11,218;316,63;0;0;276,3;0;0;273,65;0,2;0,2;271,05;0;0;268,96;8,40
01.01.2012 04:45;11,218;316,63;0;0;276,3;0;0;273,65;0,2;0,2;271,06;0;0;268,92;8,40
01.01.2012 05:00;11,218;316,64;0;0;276,29;0;0;273,65;0,2;0,2;271,06;0;0;268,84;8,40
01.01.2012 05:15;11,218;316,67;0;0;276,29;0;0;273,65;0,2;0,2;271,07;0;0;268,76;8,80
01.01.2012 05:30;11,218;316,67;0;0;276,28;0;0;273,65;0,2;0,2;271,06;0;0;268,67;8,70
01.01.2012 05:45;11,218;316,67;0;0;276,28;0;0;273,65;0,2;0,2;271,06;0;0;268,59;8,70
01.01.2012 06:00;11,218;316,67;1,8;1,8;276,28;0;0;273,65;0,2;0,2;271,06;0;0;268,50;8,70
01.01.2012 06:15;11,218;316,67;13,2;13,2;276,27;12,1;12,1;273,65;17,3;17,3;271,09;16,1;16,1;268,42;8,90
01.01.2012 06:30;11,218;316,67;13,2;13,2;276,29;8,4;8,4;273,66;9,9;9,9;271,09;12,7;12,7;268,43;8,90
01.01.2012 06:45;11,218;316,67;13,2;13,2;276,36;9,9;9,9;273,65;10,2;10,2;271,09;9,3;9,3;268,47;8,50
01.01.2012 07:00;11,218;316,68;13,2;13,2;276,39;12,5;12,5;273,65;11,7;11,7;271,1;10,9;10,9;268,50;8,10
01.01.2012 07:15;11,218;316,67;13,2;13,2;276,43;10,5;10,5;273,64;11,2;11,2;271,09;10,3;10,3;268,57;8,00
01.01.2012 07:30;11,218;316,67;13,2;13,2;276,45;12,5;12,5;273,64;12,1;12,1;271,09;12,3;12,3;268,63;8,00
01.01.2012 07:45;11,218;316,67;13,2;13,2;276,46;11,7;11,7;273,64;11,7;11,7;271,08;11,5;11,5;268,70;8,40
01.01.2012 08:00;11,218;316,67;13,2;13,2;276,49;11,6;11,6;273,63;11,1;11,1;271,09;11,6;11,6;268,76;8,40
01.01.2012 08:15;11,218;316,67;0;0;276,43;0,6;0,6;273,6;1,3;1,3;271,08;0,6;0,6;268,81;9,30
01.01.2012 08:30;11,218;316,68;0;0;276,42;0,1;0,1;273,62;0;0;271,01;0;0;268,80;9,20
01.01.2012 08:45;11,218;316,68;0;0;276,42;0;0;273,62;0;0;271,01;0;0;268,72;9,20
01.01.2012 09:00;11,398;316,68;0;0;276,42;0;0;273,62;0;0;271,02;0;0;268,62;9,10
01.01.2012 09:15;11,398;316,68;0;0;276,42;0;0;273,63;0;0;271,03;0;0;268,54;9,00
01.01.2012 09:30;11,398;316,71;0;0;276,42;0;0;273,63;0,1;0,1;271,02;0;0;268,45;9,20
