Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;1;0;0;270,94;0,1;0;0;270,39;1;0;0;1;0;30;0,663;0;0;53,98;0,72;0;2227047,866
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;1;0;0;270,94;0,1;0;0;270,38;1;0;0;1;0;30;0,663;0;0;53,98;0,72;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;1;0;0;270,94;0,1;0;0;270,38;1;0;0;1;0;30;0,663;0;0;53,98;0,72;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;1,3;0;0;270,94;0,1;0;0;270,38;1;0;0;1;0;30;0,663;0;0;53,98;0,72;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,65;1,2;0;0;270,94;0,1;0;0;270,37;1;0;0;1;0;30;0,663;0;0;52,1;0,69;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,64;1,1;0;0;270,94;0,1;0;0;270,37;1;0;0;1;0;30;0,663;0;0;52,1;0,69;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,63;0,9;0;0;270,94;0,1;0;0;270,37;1;0;0;1;0;30;0,663;0;0;52,1;0,69;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,63;0,9;0;0;270,94;0,1;0;0;270,36;1;0;0;1;0;30;0,663;0;0;52,1;0,69;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,63;0,8;0;0;270,94;0,1;0;0;270,36;1;0;0;1;0;30;0,663;0;0;47,66;0,64;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,63;0,8;0;0;270,94;0,1;0;0;270,36;1;0;0;1;0;30;0,663;0;0;47,66;0,64;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,7;0;0;270,94;0,1;0;0;270,35;1;0;0;1;0;30;0,663;0;0;47,66;0,64;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,7;0;0;270,94;0,1;0;0;270,35;1;0;0;1;0;30;0,663;0;0;47,66;0,64;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,7;0;0;270,94;0,1;0;0;270,34;1;0;0;1;0;30;0,663;0;0;44;0,59;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,7;0;0;270,94;0,1;0;0;270,34;1;0;0;1;0;30;0,663;0;0;44;0,59;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,2;0;0;270,94;0;0;0;270,34;1;0;0;1;0;30;0,663;0;0;44;0,59;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,2;0;0;270,94;0;0;0;270,33;1;0;0;1;0;30;0,663;0;0;44;0,59;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,2;0;0;270,94;0;0;0;270,32;1;0;0;1;0;30;0,663;0;0;42,97;0,57;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,2;0;0;270,94;0;0;0;270,32;1;0;0;1;0;30;0,663;0;0;42,97;0,57;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,62;0,2;0;0;270,94;0;0;0;270,31;1;0;0;1;0;30;0,663;0;0;42,97;0,57;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,63;0,2;0;0;270,94;0;0;0;270,31;1;0;0;1;0;30;0,663;0;0;42,97;0,57;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,63;0,3;0;0;270,94;0;0;0;270,3;1;0;0;1;0;30;0,663;0;0;44,88;0,6;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,64;0,4;0;0;270,94;0;0;0;270,3;1;0;0;1;0;30;0,663;0;0;44,88;0,6;0;
2,115;316,1;0;0;0;0;0;0;276,38;0;0;0;273,64;0,4;0;0;270,94;0;0;0;270,29;1;0;0;1;0;30;0,663;0;0;44,88;0,6;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,64;0,5;0;0;270,94;0;0;0;270,28;1;0;0;1;0;30;0,663;0;0;44,88;0,6;0;
2,264;316,1;0;0;0;0;0;0;276,38;0;0;0;273,65;0,5;0;0;270,93;0,2;0;0;270,28;1;0;0;1;0;30;0,663;0;0;47,41;0,63;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;0,6;0;0;270,93;0,1;0;0;270,28;1;0;0;1;0;30;0,663;0;0;47,41;0,63;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;0,6;0;0;270,92;0,1;0;0;270,27;1;0;0;1;0;30;0,663;0;0;47,41;0,63;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;0,7;0;0;270,92;0,1;0;0;270,27;1;0;0;1;0;30;0,663;0;0;47,41;0,63;0;
2,264;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;0,7;0;0;270,91;0,1;0;0;270,26;1;0;0;1;0;30;0,663;0;0;52,7;0,7;0;
2,115;316,1;0;0;0;0;0;0;276,39;0;0;0;273,66;1;0;0;270,91;0,1;0;0;270,26;1;0;0;1;0;30;0,663;0;0;52,7;0,7;0;
2,115;316,1;0;0;0;0;0;0;276,4;0;0;0;273,66;1;0;0;270,91;0,1;0;0;270,26;1;0;0;1;0;30;0,663;0;0;52,7;0,7;0;
2,115;316,1;0;0;0;0;0;0;276,4;0;0;0;273,66;1;0;0;270,91;0,1;0;0;270,25;1;0;0;1;0;30;0,663;0;0;52,7;0,7;0;
2,115;316,1;0;0;0;0;0;0;276,4;0;0;0;273,66;1;0;0;270,91;0,1;0;0;270,25;1;0;0;1;0;30;0,663;0;0;58,94;0,79;0;
2,115;316,11;0;0;0;0;0;0;276,4;0;0;0;273,66;1;0;0;270,91;0,1;0;0;270,25;1;0;0;1;0;30;0,663;0;0;58,94;0,79;0;
2,115;316,12;0;0;0;0;0;0;276,4;0;0;0;273,66;1;0;0;270,91;0,1;0;0;270,24;1;0;0;1;0;30;0,663;0;0;58,94;0,79;0;
