27,99;
27,99;
27,99;
27,99;
24,94;
24,94;
24,94;
24,94;
20,07;
20,07;
20,07;
20,07;
14,19;
14,19;
14,19;
14,19;
10,46;
10,46;
10,46;
10,46;
14,8;
14,8;
14,8;
14,8;
14,9;
14,9;
14,9;
14,9;
19,65;
19,65;
19,65;
19,65;
29,89;
29,89;
29,89;
29,89;
37,87;
37,87;
37,87;
37,87;
39,04;
39,04;
39,04;
39,04;
39,8;
39,8;
39,8;
39,8;
39,62;
39,62;
39,62;
39,62;
29,68;
29,68;
29,68;
29,68;
25,66;
25,66;
25,66;
25,66;
22,35;
22,35;
22,35;
22,35;
30,76;
30,76;
30,76;
30,76;
47,06;
47,06;
47,06;
47,06;
51,82;
51,82;
51,82;
51,82;
47,03;
47,03;
47,03;
47,03;
42,98;
42,98;
42,98;
42,98;
36,09;
36,09;
36,09;
36,09;
42,93;
42,93;
42,93;
42,93;
32,62;
32,62;
32,62;
32,62;
24,89;
24,89;
24,89;
24,89;
17,15;
17,15;
17,15;
17,15;
13,1;
13,1;
13,1;
13,1;
10,64;
10,64;
10,64;
10,64;
10,57;
10,57;
10,57;
10,57;
10,6;
10,6;
10,6;
10,6;
9,23;
9,23;
9,23;
9,23;
10;
10;
10;
10;
12,04;
12,04;
12,04;
12,04;
29,96;
29,96;
29,96;
29,96;
43,05;
43,05;
43,05;
43,05;
47,71;
47,71;
47,71;
47,71;
48,59;
48,59;
48,59;
48,59;
42,5;
42,5;
42,5;
42,5;
38,14;
38,14;
38,14;
38,14;
34,46;
34,46;
34,46;
34,46;
37,55;
37,55;
37,55;
37,55;
53,03;
53,03;
53,03;
53,03;
59,6;
59,6;
59,6;
59,6;
59,94;
59,94;
59,94;
59,94;
55,88;
55,88;
55,88;
55,88;
48,15;
48,15;
48,15;
48,15;
52,3;
52,3;
52,3;
52,3;
44,77;
44,77;
44,77;
44,77;
28,76;
28,76;
28,76;
28,76;
23,54;
23,54;
23,54;
23,54;
20,08;
20,08;
20,08;
20,08;
15,06;
15,06;
15,06;
15,06;
15,71;
15,71;
15,71;
15,71;
29,64;
29,64;
29,64;
29,64;
52,73;
52,73;
52,73;
52,73;
63,03;
63,03;
63,03;
63,03;
62,66;
62,66;
62,66;
62,66;
61,13;
61,13;
61,13;
61,13;
62,61;
62,61;
62,61;
62,61;
62,95;
62,95;
62,95;
62,95;
62,63;
62,63;
62,63;
62,63;
62,03;
62,03;
62,03;
62,03;
61,14;
61,14;
61,14;
61,14;
59,96;
59,96;
59,96;
59,96;
61,21;
61,21;
61,21;
61,21;
67,09;
67,09;
67,09;
67,09;
69,53;
69,53;
69,53;
69,53;
65;
65;
65;
65;
59,49;
59,49;
59,49;
59,49;
48,12;
48,12;
48,12;
48,12;
47,14;
47,14;
47,14;
47,14;
39,64;
39,64;
39,64;
39,64;
48,13;
48,13;
48,13;
48,13;
45,34;
45,34;
45,34;
