0;145
1;146
2;147
3;146
4;147
5;148
6;149
7;149
8;149
9;150
10;150
11;149
12;147
13;147
14;148
15;148
16;148
17;146
18;147
19;147
20;147
21;148
22;147
23;148
24;148
25;148
26;148
27;146
28;145
29;145
30;144
31;145
32;144
33;145
34;145
35;146
36;153
37;156
38;163
39;163
40;160
41;156
42;160
43;162
44;163
45;165
46;164
47;165
48;169
49;177
50;174
51;178
52;188
53;188
54;187
55;194
56;193
57;192
58;191
59;199
60;202
61;212
62;217
63;213
64;212
65;214
66;210
67;219
68;220
69;211
70;209
71;210
72;214
73;215
74;217
75;220
76;219
77;212
78;216
79;218
80;216
81;191
82;195
83;206
84;210
85;216
86;219
87;216
88;218
89;221
90;225
91;222
92;226
93;227
94;229
95;227
96;227
97;230
98;229
99;227
100;221
101;220
102;222
103;217
104;214
105;212
106;208
107;204
108;200
109;199
110;198
111;195
112;195
113;192
114;188
115;185
116;185
117;184
118;184
119;182
120;180
121;179
122;178
123;178
124;176
125;174
126;172
127;172
128;173
129;172
130;172
131;171
132;170
133;170
134;170
135;169
136;170
137;167
138;165
139;162
140;164
141;163
142;162
143;165
